ipVersion,startIp,endIp,datacenter,domain
4,185.149.146.0,185.149.146.255,WaF hosting,waf.group
4,146.0.224.0,146.0.255.255,velia.net Internetdienste GmbH,www.velia.net
4,194.64.18.0,194.64.18.255,Plusserver GmbH,www.plusserver.com
4,45.155.70.0,45.155.70.255,RS RAPIDSEEDBOX 20190918,www.rapidseedbox.com
4,78.46.27.224,78.46.27.231,Hetzner Online GmbH,www.hetzner.com
4,84.55.155.240,84.55.155.255,Internet Services,isi.ch
4,185.70.208.0,185.70.211.255,Protagonist B.V.,www.protagonist.nl
4,164.39.49.16,164.39.49.17,M247 UK Ltd,m247.com
4,154.222.44.0,154.222.44.255,Cloud Innovation Ltd,cloudinnovation.org
4,94.46.40.169,94.46.40.169,MissDomain Group AB,missdomain.com
4,92.119.203.0,92.119.203.255,ITHOSTLINE LTD,ithostline.com
4,164.39.90.79,164.39.90.79,M247 UK Ltd,m247.com
4,144.76.189.152,144.76.189.159,Hetzner Online GmbH,www.hetzner.com
4,78.47.77.8,78.47.77.15,Hetzner Online GmbH,www.hetzner.com
4,124.40.53.0,124.40.53.127,Akamai International BV,www.akamai.com
4,43.245.124.0,43.245.127.255,Acme Commerce Sdn Bhd,www.webserver.com.my
4,62.76.231.0,62.76.231.255,ITHOSTLINE LTD,ithostline.com
4,178.33.181.60,178.33.181.63,OVH Hispano,www.ovh.com
4,62.209.53.176,62.209.53.179,Equinix (Netherlands) Enterprises BV,www.equinix.com
4,144.76.63.32,144.76.63.63,Hetzner Online GmbH,www.hetzner.com
4,85.95.122.8,85.95.122.15,Wavenet Limited,www.wavenet.com
4,164.39.20.240,164.39.20.247,M247 UK Ltd,m247.com
4,203.141.48.40,203.141.48.43,"BroadBand Tower, Inc.",www.bbtower.co.jp
4,130.117.9.144,130.117.9.159,Saveho,www.saveho.com
4,185.87.120.2,185.87.120.30,Ideal Hosting Teknoloji A.S.,idealhosting.net.tr
4,62.128.150.208,62.128.150.215,[ Managed Hosting Customer Allocation ],netbenefit.co.uk
4,94.46.43.8,94.46.43.8,MissDomain Group AB,missdomain.com
4,77.235.32.0,77.235.32.255,EUROVPS-VMC,www.eurovps.com
4,85.42.249.208,85.42.249.215,SHADOW SRL,shadow.tech
4,45.95.235.0,45.95.235.255,TimeWeb Ltd.,timeweb.com
4,91.186.0.255,91.186.0.255,EUKHost LTD,www.eukhost.com
4,85.13.239.224,85.13.239.231,Coreix Ltd,www.coreix.net
4,80.94.4.0,80.94.7.255,"Ilimit Comunicacions, S.L.",www.ilimit.com
4,45.87.222.0,45.87.222.255,KnownSRV Ltd.,knownsrv.com
4,109.75.160.70,109.75.160.70,WebHosting UK Com LTD server,www.eukhost.com
4,38.32.186.80,38.32.186.87,GSL Networks PTY LTD,globalsecurelayer.com
4,62.205.172.240,62.205.172.255,Hoster.by Colocation,corbina.net
4,119.31.230.0,119.31.230.255,Micron21 Melbourne Datacentre Co-Location Dedicated Servers Web Hosting,micron21.com
4,148.252.204.220,148.252.204.221,M247 UK Ltd,m247.com
4,37.71.153.252,37.71.153.253,Internet Services,isi.ch
4,43.208.0.0,43.209.255.255,Infrastructure,amazonaws.com
4,81.1.13.232,81.1.13.235,Internet Services,isi.ch
4,45.149.172.0,45.149.175.255,Clouvider Limited,www.clouvider.com
4,178.250.176.0,178.250.176.127,EIRCOM-HOSTING,eircomni.co.uk
4,77.95.224.142,77.95.224.142,Snel.com B.V.,www.snel.com
4,185.71.156.0,185.71.157.255,Loopia AB,www.loopia.se
4,195.115.88.64,195.115.88.67,Internet Services,isi.ch
4,162.217.250.0,162.217.250.255,SYN LTD,syn.uk
